PROGRAMA;CURSO;DISCIPLINA;AACSB;EQUIS;AMBA;ABET
GRADUACAO;ADMINISTRAÇÃO / CIÊNCIAS ECONÔMICAS / DIREITO / CIÊNCIA DA COMPUTAÇÃO / ENGENHARIA DE COMPUTAÇÃO / ENGENHARIA MECATRÔNICA / ENGENHARIA MECÂNICA;GRENGELE_202561_0013 - PRÁTICAS E MÉTODOS EM PESQUISA BÁSICA E APLICADA;SIM;SIM;NÃO;NÃO
GRADUACAO;ENGENHARIA DE COMPUTAÇÃO / ENGENHARIA MECATRÔNICA / ENGENHARIA MECÂNICA;GRENGELE_202061_0004 - BIOFOTÔNICA;NÃO;NÃO;NÃO;SIM
GRADUACAO;ENGENHARIA MECÂNICA / ENGENHARIA MECATRÔNICA / ENGENHARIA DE COMPUTAÇÃO;GRENGELE_202361_0001 - ELETIVA GRADUAÇÃO ENGENHARIA 80 HORAS;NÃO;NÃO;NÃO;SIM
GRADUACAO;ENGENHARIA MECÂNICA / ENGENHARIA MECATRÔNICA / ENGENHARIA DE COMPUTAÇÃO;GRENGELE_202361_0001 - ELETIVA GRADUAÇÃO ENGENHARIA 80 HORAS;NÃO;NÃO;NÃO;SIM
PGLS;LLM - DIREITO TRIBUTÁRIO;LLMDT_202032_005 - TRIBUTAÇÃO DA RENDA CORPORATIVA (IRPJ E CSLL);NÃO;NÃO;NÃO;NÃO
PGLS;LLM - DIREITO TRIBUTÁRIO;LLMDT_202032_005 - TRIBUTAÇÃO DA RENDA CORPORATIVA (IRPJ E CSLL);NÃO;NÃO;NÃO;NÃO
PGLS;LLM - DIREITO TRIBUTÁRIO;LLMDT_202032_005 - TRIBUTAÇÃO DA RENDA CORPORATIVA (IRPJ E CSLL);NÃO;NÃO;NÃO;NÃO
GRADUACAO;CIÊNCIAS ECONÔMICAS / ADMINISTRAÇÃO;GRADM_201362_0011 - CÁLCULO I                                                             ;SIM;SIM;NÃO;NÃO
GRADUACAO;CIÊNCIAS ECONÔMICAS / ADMINISTRAÇÃO;GRADM_201362_0011 - CÁLCULO I                                                             ;SIM;SIM;NÃO;NÃO
GRADUACAO;CIÊNCIAS ECONÔMICAS / ADMINISTRAÇÃO;GRADM_201362_0011 - CÁLCULO I                                                             ;SIM;SIM;NÃO;NÃO
GRADUACAO;CIÊNCIAS ECONÔMICAS / ADMINISTRAÇÃO;GRADM_201362_0011 - CÁLCULO I                                                             ;SIM;SIM;NÃO;NÃO
GRADUACAO;CIÊNCIAS ECONÔMICAS / ADMINISTRAÇÃO;GRADM_201362_0011 - CÁLCULO I                                                             ;SIM;SIM;NÃO;NÃO
GRADUACAO;CIÊNCIAS ECONÔMICAS / ADMINISTRAÇÃO;GRADM_201362_0011 - CÁLCULO I                                                             ;SIM;SIM;NÃO;NÃO
GRADUACAO;ADMINISTRAÇÃO;GRADM_202061_0001 - ESTÁGIO SUPERVISIONADO I;SIM;SIM;NÃO;NÃO
GRADUACAO;ADMINISTRAÇÃO;GRADM_202061_0002 - ESTÁGIO SUPERVISIONADO II;SIM;SIM;NÃO;NÃO
GRADUACAO;ADMINISTRAÇÃO;GRADMECO_202462_0006 - ESTRATÉGIA DE DIVERSIDADE E INCLUSÃO;SIM;SIM;NÃO;NÃO
GRADUACAO;CIÊNCIA DA COMPUTAÇÃO;GRCIECOMP_202561_001 - ESTÁGIO SUPERVISIONADO I;NÃO;NÃO;NÃO;NÃO
GRADUACAO;CIÊNCIA DA COMPUTAÇÃO;GRCIECOMP_202562_001 - ESTÁGIO SUPERVISIONADO II;NÃO;NÃO;NÃO;NÃO
GRADUACAO;ENGENHARIA DE COMPUTAÇÃO;GRENG_202361_0015 - ESTÁGIO SUPERVISIONADO I;NÃO;NÃO;NÃO;SIM
GRADUACAO;ADMINISTRAÇÃO;GRADM_202061_0001 - ESTÁGIO SUPERVISIONADO I;SIM;SIM;NÃO;NÃO
GRADUACAO;ADMINISTRAÇÃO;GRADM_202061_0002 - ESTÁGIO SUPERVISIONADO II;SIM;SIM;NÃO;NÃO
GRADUACAO;CIÊNCIA DA COMPUTAÇÃO;GRCIECOMP_202561_001 - ESTÁGIO SUPERVISIONADO I;NÃO;NÃO;NÃO;NÃO
GRADUACAO;CIÊNCIA DA COMPUTAÇÃO;GRCIECOMP_202562_001 - ESTÁGIO SUPERVISIONADO II;NÃO;NÃO;NÃO;NÃO
GRADUACAO;ENGENHARIA DE COMPUTAÇÃO;GRENG_202361_0016 - ESTÁGIO SUPERVISIONADO II;NÃO;NÃO;NÃO;SIM
PGLS;ADVANCED PROGRAM IN FINANCE;APF_201831_006 - WORKSHOP DE GOVERNANÇA CORPORATIVA;NÃO;NÃO;NÃO;NÃO
PGLS;MBA EXECUTIVO EM FINANÇAS;MBFIN_201233_103 - COMBINAÇÃO DE NEGÓCIOS;SIM;SIM;SIM;NÃO
PGLS;MBA EXECUTIVO EM FINANÇAS;MBFIN_201233_103 - COMBINAÇÃO DE NEGÓCIOS;SIM;SIM;SIM;NÃO
PGLS;ADVANCED PROGRAM IN FINANCE;APF_201831_006 - WORKSHOP DE GOVERNANÇA CORPORATIVA;NÃO;NÃO;NÃO;NÃO
PGLS;LLC EM DIREITO EMPRESARIAL;LLC_202033_008 - GOVERNANÇA CORPORATIVA: RELACIONAMENTOS ENTRE SÓCIOS E ADMINISTRADORES;NÃO;NÃO;NÃO;NÃO
PGLS;LLC EM DIREITO EMPRESARIAL;LLC_202033_008 - GOVERNANÇA CORPORATIVA: RELACIONAMENTOS ENTRE SÓCIOS E ADMINISTRADORES;NÃO;NÃO;NÃO;NÃO
PGLS;MBA EXECUTIVO;MBFIN_201233_103 - COMBINAÇÃO DE NEGÓCIOS;SIM;SIM;SIM;NÃO
PGLS;ADVANCED PROGRAM IN FINANCE;APF_201831_006 - WORKSHOP DE GOVERNANÇA CORPORATIVA;NÃO;NÃO;NÃO;NÃO
PGLS;MBA EXECUTIVO;MBFIN_201233_103 - COMBINAÇÃO DE NEGÓCIOS;SIM;SIM;SIM;NÃO
PGLS;ADVANCED PROGRAM IN FINANCE;APF_201831_006 - WORKSHOP DE GOVERNANÇA CORPORATIVA;NÃO;NÃO;NÃO;NÃO
